SESSION_START;2532246048494289747;1681851039;
START_LEVEL;2532246048494289747;1681851040;1;
LANDING_EVENT;2532246048494289747;1681851041;0;-5,017658;
ARRIVE_NEW_ZONE;2532246048494289747;1681851041;1;
THROW_HOOK;2532246048494289747;1681851042;0,8438401;-4,509714;9,563653;2,876984;2;
HIT_HOOK;2532246048494289747;1681851042;0,8438401;-5,009714;6,104191;5,670963;
THROW_HOOK;2532246048494289747;1681851043;7,601223;3,548269;12,36184;9,140731;1;
HIT_HOOK;2532246048494289747;1681851043;7,601223;3,048269;3,889217;5,068805;
LANDING_EVENT;2532246048494289747;1681851044;4,331261;18,99025;
THROW_HOOK;2532246048494289747;1681851044;4,331261;19,49025;-1,015779;29,2775;2;
HIT_HOOK;2532246048494289747;1681851045;4,331261;18,99028;-4,314978;8,398125;
THROW_HOOK;2532246048494289747;1681851046;5,543037;35,27296;11,05857;39,58661;1;
HIT_HOOK;2532246048494289747;1681851046;5,543037;34,77296;1,575406;1,732109;
LANDING_EVENT;2532246048494289747;1681851048;10,40253;38,99025;
THROW_HOOK;2532246048494289747;1681851049;8,902534;39,47259;-2,165717;50,16725;2;
HIT_HOOK;2532246048494289747;1681851049;8,902534;38,99008;-5,753113;6,041435;
THROW_HOOK;2532246048494289747;1681851049;-1,893687;49,02198;-6,650476;56,12349;1;
HIT_HOOK;2532246048494289747;1681851049;-1,893687;48,52198;-3,339105;5,485023;
LANDING_EVENT;2532246048494289747;1681851050;-8,871171;54,91498;
RECEIVE_DMG;2532246048494289747;1681851050;ENEMY;-16,08;54,95;
LANDING_EVENT;2532246048494289747;1681851051;-11,14894;54,99028;
RECEIVE_DMG;2532246048494289747;1681851051;ENEMY;-11,88;54,95;
LANDING_EVENT;2532246048494289747;1681851051;-11,67755;54,98566;
LANDING_EVENT;2532246048494289747;1681851052;-9,745928;54,99028;
LANDING_EVENT;2532246048494289747;1681851054;-7,280225;54,98497;
RECEIVE_DMG;2532246048494289747;1681851055;ENEMY;-13,44;54,95;
LANDING_EVENT;2532246048494289747;1681851055;-14,3187;54,98566;
RECEIVE_DMG;2532246048494289747;1681851056;ENEMY;-10,32001;54,95;
LANDING_EVENT;2532246048494289747;1681851056;-9,03956;54,99028;
RECEIVE_DMG;2532246048494289747;1681851066;ENEMY;-14,4;54,95;
DEATH;2532246048494289747;1681851066;DAMAGE;0;0;1;
LANDING_EVENT;2532246048494289747;1681851067;-13,13134;54,99028;
